application_id,customer_id,application_date,loan_amount,annual_income,debt_to_income_ratio,monthly_debt,credit_score,num_credit_inquiries,num_late_payments_30d,num_late_payments_60d,num_late_payments_90d,credit_line_age,loan_term,interest_rate,employment_status,loan_purpose,home_ownership,application_type,default_flag
APP-000000,CUST-000000,2024-06-02 15:34:02.317134,6455.22,116401.56,0.22,869.78,356.37,8,0,3,0,7,17,5.62,Employed,Other,Mortgage,Joint,1
APP-000001,CUST-000001,2024-06-28 15:34:02.317177,14631.34,133009.04,0.48,966.36,532.44,4,1,1,1,26,17,7.56,Unemployed,Business,Rent,Individual,1
APP-000002,CUST-000002,2024-07-25 15:34:02.317214,7116.48,139898.4,0.14,1607.26,645.75,5,4,1,2,17,14,10.94,Unemployed,Debt consolidation,Mortgage,Individual,1
APP-000003,CUST-000003,2024-09-05 15:34:02.317230,32148.54,67428.18,0.29,1205.63,446.84,10,5,0,2,162,22,9.41,Self-employed,Home improvement,Other,Joint,1
APP-000004,CUST-000004,2024-06-02 15:34:02.317264,34719.94,48549.97,0.26,3887.91,330.77,0,2,3,1,16,25,13.96,Unemployed,Home improvement,Other,Joint,1
APP-000005,CUST-000005,2024-05-31 15:34:02.317282,23483.74,54434.42,0.22,2894.57,444.51,9,3,3,1,56,20,9.11,Employed,Debt consolidation,Own,Individual,1
APP-000006,CUST-000006,2024-05-12 15:34:02.317315,21685.84,28258.6,0.29,4981.38,591.01,8,0,0,2,226,46,12.01,Unemployed,Debt consolidation,Rent,Joint,1
APP-000007,CUST-000007,2025-04-24 15:34:02.317343,47736.98,133860.88,0.23,2602.81,398.26,1,5,2,2,129,50,5.39,Unemployed,Home improvement,Own,Joint,1
APP-000008,CUST-000008,2025-02-27 15:34:02.317356,46525.83,134233.84,0.52,1676.07,331.86,9,0,0,2,124,16,14.74,Self-employed,Home improvement,Other,Individual,1
APP-000009,CUST-000009,2024-06-19 15:34:02.317369,21733.76,47533.77,0.37,3703.67,410.63,4,3,2,1,230,45,8.42,Self-employed,Home improvement,Own,Joint,1
APP-000010,CUST-000010,2024-07-16 15:34:02.317389,12275.62,48628.26,0.14,3229.29,425.92,0,2,0,2,60,29,11.03,Self-employed,Other,Mortgage,Joint,1
APP-000011,CUST-000011,2024-08-26 15:34:02.317407,40567.35,44753.29,0.15,2269.05,532.97,7,5,0,2,167,53,4.18,Retired,Business,Own,Individual,1
APP-000012,CUST-000012,2024-07-25 15:34:02.317421,22982.06,74844.61,0.24,1399.07,807.8,7,4,0,0,166,46,13.03,Employed,Home improvement,Mortgage,Joint,1
APP-000013,CUST-000013,2025-01-06 15:34:02.317435,43367.87,137317.57,0.18,210.35,514.73,7,2,3,2,187,47,10.94,Retired,Home improvement,Mortgage,Joint,1
APP-000014,CUST-000014,2025-03-27 15:34:02.317449,29379.83,90485.38,0.47,474.39,621.3,8,4,1,0,130,17,13.22,Employed,Other,Own,Individual,1
APP-000015,CUST-000015,2024-07-08 15:34:02.317463,13064.55,97287.49,0.41,2212.28,621.02,8,2,2,0,171,57,6.77,Unemployed,Education,Mortgage,Joint,1
APP-000016,CUST-000016,2025-03-19 15:34:02.317476,1456.46,100750.7,0.38,679.91,595.7,8,2,1,1,225,16,13.55,Unemployed,Business,Mortgage,Joint,0
APP-000017,CUST-000017,2024-04-30 15:34:02.317489,15823.34,147900.93,0.5,2738.92,667.32,8,2,0,0,67,19,13.68,Self-employed,Business,Rent,Individual,0
APP-000018,CUST-000018,2025-01-11 15:34:02.317503,34687.36,130878.67,0.35,1405.38,799.49,0,0,3,1,11,12,7.0,Self-employed,Business,Mortgage,Joint,1
APP-000019,CUST-000019,2024-09-19 15:34:02.317516,28484.44,34543.6,0.57,3516.89,381.98,0,2,1,1,32,14,6.7,Employed,Business,Mortgage,Individual,1
APP-000020,CUST-000020,2024-10-26 15:34:02.317530,39225.7,134937.51,0.3,3179.18,385.0,3,1,1,1,6,23,11.84,Unemployed,Education,Mortgage,Joint,1
APP-000021,CUST-000021,2024-05-01 15:34:02.317543,6296.69,133381.68,0.53,1267.68,749.12,7,2,2,0,57,13,10.92,Retired,Business,Rent,Individual,0
APP-000022,CUST-000022,2024-12-04 15:34:02.317561,18206.16,86222.74,0.44,4249.57,482.13,0,0,2,0,148,28,3.46,Retired,Business,Rent,Joint,1
APP-000023,CUST-000023,2024-08-07 15:34:02.317579,6666.64,136935.62,0.2,413.06,539.83,8,4,1,1,110,16,14.39,Unemployed,Other,Rent,Individual,1
APP-000024,CUST-000024,2024-11-23 15:34:02.317593,25849.0,106696.08,0.26,3546.6,604.93,3,3,3,2,191,23,10.39,Unemployed,Education,Own,Joint,1
APP-000025,CUST-000025,2024-09-17 15:34:02.317614,39502.18,98866.0,0.26,2320.57,671.59,8,3,1,2,21,30,9.19,Unemployed,Debt consolidation,Mortgage,Joint,1
APP-000026,CUST-000026,2025-01-14 15:34:02.317627,8220.34,26007.78,0.59,3134.12,722.67,7,3,1,2,178,36,8.93,Self-employed,Home improvement,Own,Individual,1
APP-000027,CUST-000027,2025-01-03 15:34:02.317649,9618.45,144535.59,0.36,441.05,437.06,1,3,1,1,170,45,14.85,Unemployed,Education,Other,Joint,1
APP-000028,CUST-000028,2024-08-25 15:34:02.317666,23053.42,117730.98,0.52,1531.09,727.72,7,5,1,1,112,16,11.56,Self-employed,Business,Rent,Joint,1
APP-000029,CUST-000029,2025-03-15 15:34:02.317685,7780.33,50063.99,0.45,3590.81,335.33,6,2,3,1,15,25,12.99,Retired,Other,Own,Joint,1
APP-000030,CUST-000030,2024-10-27 15:34:02.317698,15632.02,70698.26,0.55,4211.5,596.02,8,4,1,1,56,29,8.23,Employed,Education,Rent,Joint,1
APP-000031,CUST-000031,2024-08-29 15:34:02.317711,46057.54,147493.86,0.37,4553.26,625.54,10,0,0,2,109,20,13.4,Self-employed,Debt consolidation,Rent,Joint,1
